term,term_frequency
metropole,1
6,00013,000,1
cdiz,1
xiorro,1
vlez,1
languagesspanish,1
frenchit,1
estrangement,1
sebastin,1
apprenticeship,1
grito,1
bilaterally,1
agreed-upon,1
1898present,1
thinker,1
coaling,1
19001952,1
metropolis-colony,1
legislate,1
bystanders,1
rican-born,1
ricanborn,1
1952present,1
restrain,1
mordaza,1
disobeying,1
thesponsored,1
50.3,1
81-600,1
torresola,1
seditious,1
legislates,1
operacin,1
manos,1
obra,1
agriculture-based,1
manufacturing-based,1
non-committal,1
20052009,1
mutually-beneficial,1
500-year-old,1
enunciated,1
decontaminate,1
223169,1
2499,1
111th,1
adjourned,1
h.r.2499,1
two-plebiscite,1
two-question,1
61.16,1
33.34,1
5.49,1
515,348,1
5278,1
overrule,1
sixty-one,1
13,790,1
5,320sqmi,1
8,870km2,1
3,420sqmi,1
4,921km2,1
1,900sqmi,1
4,390ft,1
1,065m,1
3,494ft,1
patillas,1
carbonates,1
bermeja,1
71mi,1
8,400m,1
27,600ft,1
66.9f,1
85.4f,1
99f,1
1,687mm,1
66in,1
wwi-era,1
protectionist,1
yunque,1
40km2,1
15sqmi,1
gunica,1
3,474,182,1
6.75,1
3,808,610,1
3,411,307,1
155,426,1
341,015,1
300,430,1
41,736,1
cedula,1
genomewide,1
79.3,1
non-puerto,1
stateside,1
airfares,1
birthrate,1
accentuates,1
314,482,1
371,400,1
english-only,1
thederived,1
interconfessional,1
non-roman,1
pollster,1
19601985,1
brincando,1
charco,1
pentecostals,1
cleary,1
sub-title,1
dormition,1
theotokos,1
spyridon,1
jordanian,1
25,832,1
santsima,1
1579,1
status-neutral,1
mus,1
non-registered,1
preemption,1
adjudications,1
whensoever,1
rico-sourced,1
3.742,1
jeopardy,1
impermissible,1
liaise,1
d.c.-based,1
legislator,1
maricarmen,1
aponte,1
usacom,1
afwtf,1
ramey,1
seca,1
prang,1
deactivations,1
17461786,1
military-related,1
borinqueneers,1
fidelitas,1
72.204,1
23,830,1
self-sustainable,1
politicized,1
inequitable,1
debtors,1
bankruptcy-like,1
unjustified,1
71b,1
non-investment,1
9.6%or,1
billionof,1
fy2014,1
29b,1
9.0b,1
fy2011,1
1.3b,1
prhta,1
409m,1
272m,1
prasa,1
112m,1
defrayed,1
holistically,1
fy2000fy2010,1
cagr,1
ogp,1
formulates,1
submits,1
unpractical,1
19,350,1
mainland-bound,1
rico-manufactured,1
conc,1
oftenalthough,1
alwayslower,1
gramtica,1
levelsprimary,1
60.0,1
multi-campus,1
aba-approved,1
mdico,1
siquitrico,1
hima,1
caguas,1
traffickers,1
reinita,1
countryman,1
carite,1
tree-shaded,1
architectonical,1
prvulos,1
remodeling,1
carmelite,1
convent,1
convento,1
renovate,1
borrows,1
vejigantes,1
frighten,1
fangs,1
palette,1
gbaro,1
peregrinacin,1
bayon,1
hostos,1
indo-antillano,1
charca,1
insularismo,1
essayists,1
conquistadora,1
jibaro,1
orquesta,1
filarmnica,1
emmanuelli,1
thrilled,1
carnitas,1
lechn,1
flan,1
cocinero,1
puertorriqueo,1
araitas,1
tostones,1
rellenos,1
cracker-like,1
ajicito,1
cachucha,1
habanero,1
annatto,1
cocoplum,1
mamoncillo,1
arrowroot,1
soursops,1
garbanzos,1
cilantrillo,1
corsos,1
philately,1
3-cent,1
8-cent,1
boxers,1
velln,1
ultras,1
9273,1
unicycle,1
and1,1
streetballers,1
non-black,1
globetrotters,1
carros,1
pblicos,1
twenty-foot,1
aee,1
back-corrected,1
clarifies,1
gervasio,1
proyecto,1
cambiaron,1
llamaron,1
boricuas,1
15181519,1
repartimiento,1
wage-free,1
tavenner,1
typhus,1
llamada,1
pequea,1
debido,1
semejanza,1
conjured,1
purposeful,1
algunas,1
industrias,1
destacadas,1
dentro,1
farmacuticas,1
petroqumicos,1
computadoras,1
compaas,1
dedicadas,1
instrumentos,1
mdicos,1
cientficos,1
otros,1
torrech,1
millones,1
anuales,1
recibimos,1
asistencia,1
alimentos,1
podramos,1
desarrollar,1
industria,1
alimentaria,1
autosuficiente,1
representantes,1
denunciaron,1
propuesta,1
gobernador,1
hacer,1
cambios,1
composicin,1
organismo,1
institucionaliza,1
intervencin,1
partidista,1
convierte,1
ejecutivo,1
aunque,1
mueve,1
pblico,1
privado,1
billones,1
rea,1
todava,1
alcanzan,1
nivel,1
eficiencia,1
ptimo,1
mejorar,1
calidad,1
impacta,1
principalmente,1
administrativas,1
dinero,1
analizarse,1
contra,1
producto,1
interno,1
bruto,1
ubicara,1
relacin,1
aproximadamente,1
realidad,1
situacin,1
resultado,1
accin,1
falt,1
creatividad,1
innovacin,1
rapidez,1
creacin,1
modelo,1
sustentara,1
tras,1
eliminacin,1
seccin,1
debimos,1
proactivos,1
fuimos,1
indicadores,1
dbil,1
muchos,1
sumamente,1
debilitada,1
segn,1
evidencian,1
tasa,1
desempleo,1
pobreza,1
41.7,1
quiebra,1
prdida,1
poblacional,1
prgdb,1
mrgi,1
frbny,1
owner-occupied,1
medians,1
fuentes-ramrez,1
ceteris,1
paribus,1
amaral,1
malavet,1
kneipple,1
caban,1
18981932,1
santiago-valles,1
p.ix,1
f.3d,1
banc,1
scottsbluff,1
rhg.com,1
allatson,1
grose,1
schechter,1
adelante,1
hermanas,1
josefina,1
cintron,1
feminismo,1
proyectosalonhogar.com,1
abbad,1
lasierra,1
iigo,1
inter-tribal,1
newberry.org,1
groningen,1
books.google.com.pr,1
post-slave,1
491520,1
baralt,1
conspiracies,1
17951873,1
ensayistas.org,1
quinto,1
centenario,1
autonmica,1
solboricua.com,1
pp.7278,1
19171933,1
efrn,1
pp.166,1
ssmica,1
llmc.com,1
7-year-old,1
cova,1
latinamericanstudies.org,1
editores,1
issuu.com,1
puertoricousa.com,1
puertorico-herald.org,1
national-louis,1
109796,1
lexjuris.com,1
caribbeanbusiness.com,1
ftp.resources.com,1
2.003,1
54puerto,1
scotusblog.com,1
policy.house.gov,1
doreli,1
uribe,1
salas,1
ciencia,1
guano,1
81106,1
schrer-umpierre,1
etienne,1
contemporanea,1
esterrich,1
edenes,1
insostenibles,1
campo,1
cincuenta,1
gorp.com,1
2007-06-29.cs1,1
andrzej,1
pisera,1
oceanexplorer.noaa.gov,1
sercc.com,1
quionez,1
135981,1
justiniano,1
ketv,1
chokshi,1
niraj,1
islands.unep.ch,1
scholastic.com,1
nst-est2016-01,1
middeldyk,1
estvez-montero,1
lobaina-manzanet,1
padovani-claudio,1
snchez-cruz,1
ortiz-bermdez,1
snchez-crespo,1
bonilla,1
pigmentation,1
martinez-cruzado,1
phylogeographic,1
13155,1
genographic,1
rodrguez-clintron,1
626633,1
gignoux,1
fejerman,1
galander,1
viera-vera,1
oleksyk,1
taras,1
elad,1
nartnez-cruzado,1
e16513,1
bargent,1
mcarthur,1
d.p.r,1
p.r.r,1
58889,1
lopez-baralt,1
negron,1
espanol,1
juridica,1
vientos-gaston,1
informe,1
muniz-arguelles,1
c.1988,1
episcopalpr.org,1
histrico,1
16921963,1
imprenta,1
preb.com,1
english.turkcebilgi.com,1
rico1,1
parish.orthodoxtheologicalinstitute.org,1
webpub.allegheny.edu,1
giorgetti,1
aparente,1
paradoja,1
millonario,1
empresarial,1
humanismo,1
luxner.com,1
pupr.edu,1
saudiaramcoworld.com,1
18485,1
buddhanet.net,1
fec.gov,1
enciclopediapr.org,1
2004.cs1,1
juez,1
supremo,1
loughborough,1
529530,1
irs.gov,1
prfaa,1
osd,1
dior,1
cieba,1
edgardo,1
sjr2,1
valerosos.com,1
schwab,1
geks-cpdw,1
cgdp2,1
torrcech,1
yamilet,1
ileanexis,1
jenisabel,1
nydia,1
gdb-pur.com,1
economistas,1
oponen,1
reformas,1
estimular,1
castrodad,1
2.pr.gov,1
primerahora.com,1
nbclatino.com,1
mercer.com,1
gutierrez,1
elas,1
estadisticas.gobierno.pr,1
2015more,1
seilhamer,1
reinaldo,1
1458,1
grafal,1
chalabi,1
laht.com,1
giovannetti,1
hybridity,1
jquez,1
8198,1
newdeal.feri.org,1
clemente,1
19341972,1
boricuaballers.com,1
hammann,1
rio2016.com,1
waldstein,1
presupuesto.gobierno.pr,1
isar,1
godreau,1
blackness,1
aboutpuerto,1
ricoat,1
tendencias,1
archipelagoes,1
groene,1
hiller,1
j.r.p.b.s.s,1
rogozinski,1
647mi,1
caya,1
hico,1
hideouts,1
17651783,1
esperanza,1
labouring,1
616.3,1
238.0,1
128sqmi,1
2,200m,1
7,200ft,1
4,939,1
17.39km2,1
6.71sqmi,1
4,831,1
6.74km2,1
2.60sqmi,1
324km2,1
125sqmi,1
370sqmi,1
sparsely-inhabited,1
56sqmi,1
47sqmi,1
45sqmi,1
1,312,1
8.1sqmi,1
2.3sqmi,1
19861988,1
19861987,1
19871988,1
cockburn,1
sub-bureau,1
pro-dependency,1
consultative,1
dishonesty,1
re-colonised,1
duly,1
ramsay-hale,1
fieldsend,1
worrall,1
19901993,1
kipling,1
19982004,1
goldsbrough,1
20122014,1
58.2,1
19,886,1
3.55,1
18.66,1
73.28,1
71.15,1
75.51,1
57.5,1
non-belongers,1
creole-speaking,1
72.8,1
fritters,1
salad,1
pinstep,1
in-class,1
studentteacher,1
deduction,1
private-public-partnership,1
34.67,1
13.12,1
7.83,1
renting,1
43.31,1
8.82,1
10.03,1
24.95,1
24,273,1
27,595,1
206.79,1
235.85,1
infractions,1
169.2,1
264,887,1
351,498,1
617,863,1
turkoise,1
ex-husband,1
honeymoon,1
bandshell,1
salt-pan,1
left-hand-drive,1
14-kilometre,1
8.7-mile,1
islandcom,1
cdma,1
cctld,1
vp5,1
infotainment,1
re-launched,1
4news,1
digicelplay,1
207th,1
sportsman,1
ariza,1
sprinter,1
defraud,1
laundering,1
under-secretary,1
430km2,1
nationalanthems.info,1
sppdtci.com,1
2013-03-13,1
fincher,1
geographia.com,1
turksandcaicostourism.com,1
granberry,1
vescelius,1
8086,1
keegan,1
4862,1
170173,1
212213,1
220223,1
ortwin,1
159160,1
kersell,1
microstate,1
169181,1
city.cambridge.on.ca,1
clegg,1
5364,1
2011-07-25,1
2017-03-22.cs1,1
seaaroundus.org,1
turkscaicosbank.com,1
worldstatesmen.org,1
barrowclough,1
unstats.un.org,1
2016-03-18,1
thesandstc.com,1
2009-08-15,1
2016-09-14,1
gracebayresorts.com,1
thesomerset.com,1
sevenstarsgracebay.com,1
thewestbayclub.com,1
airport-technology.com,1
frommers.com,1
sinfin.net,1
tcimall.tc,1
zgrky,1
s3magazine.com,1
aboutturks,1
islandsat,1
470,000km2,1
180,000sqmi,1
lucayans,1
clamped,1
capitalised,1
sayle,1
alcon,1
franco-spanish,1
18th19th,1
16801718,1
deveaux,1
abac,1
manumitted,1
indemnity,1
hermosa,1
disheartened,1
strenuously,1
wenner-gren,1
contemptuous,1
mischief,1
deferment,1
post-second,1
symonette,1
pindling,1
2,387,1
southeasternmost,1
207ft,1
castaway,1
2096,1
winterless,1
oolites,1
grapestone,1
22,2930,1
oolite,1
oolitic,1
4159,6164,1
3340,65,7284,86,1
16-member,1
jurisprudence,1
hmbs,1
p-61,1
commando,1
councillor,1
symbolise,1
flamingo,1
1970sthe,1
theresuch,1
cbb,1
soundness,1
17.2,1
391,232,1
67.2,1
0.925,1
17.81,1
9.35,1
23.21,1
69.87,1
73.49,1
66.32,1
deporting,1
light-skinned,1
conchy,1
sponging,1
bahamianese,1
catalyn,1
autoglossonyms,1
languages.also,1
british-based,1
basketry,1
voodoo,1
out-islands,1
obeah,1
junkanoo,1
o.m,1
lusca,1
chickcharnies,1
andro,1
triathlons,1
william-darling,1
thunderball,1
markham,1
dumene,1
pp.166168,1
262314,1
vignoles,1
blacker,1
bliss,1
135136,1
251253,1
vail,1
charg,1
107108,1
300302,1
307309,1
154159,1
230233,1
331332,1
p.a20,1
bigart,1
p.c2,1
alden,1
worldweather.org,1
pp.124,1
schreier,1
p.162,1
hackert,1
augsburg,1
pp.4145,1
collie,1
michaelis,1
osiapem,1
iyabo,1
362366,1
hurbon,1
laennec,1
18197,1
laws.bahamas.gov.bs,1
tribune242.com,1
bahamasfa.com,1
ifaf.info,1
www.baseball,1
bahamas.net,1
sturrup,1
rugbybahamas.com,1
beachsoccer.com,1
frankrutherfordfoundation.com,1
dutchess,1
packer,1
16471670,1
3346,1
2944,1
compleat,1
18171980,1
17831933,1
storr,1
wittington,1
17841834,1
tek,1
wid,1
1880s1920s,1
filthy,1
mogul,1
1,2,3,4,1
vol.7,1
tsuda,1
4557,1
incognita,1
studies,vol,1
284297,1
aboutbahamasat,1
2,300,000,1
110.308,1
presumptuous,1
ungava,1
continuously-built-up,1
baillie,1
maceachern,1
prieur,1
ulysse,1
riverways,1
36deaths,1
state10directly,1
26indirectly,1
elevenhours,1
16,325people,1
overcrowding,1
1,186homes,1
77businesses,1
9,110homes,1
333businesses,1
107,908homes,1
1,000businesses,1
660,000dump,1
tenpeople,1
2,311broken,1
3,899snapped,1
crossarms,1
7,363spans,1
137million,1
4.26-foot,1
1.3-m,1
accomack,1
3.28m,1
15thstreet,1
treesone,1
60condominiums,1
2,000units,1
192homes,1
46severely,1
15homes,1
150200,1
24homes,1
31homes,1
68more,1
heathsville,1
103river,1
areaone,1
365,000dominion,1
2550mph,1
4080km,1
damagesome,1
29million,1
business-owners,1
6.3million,1
5,300m3,1
disaster-affected,1
93,139,1
20,417people,1
123million,1
25.9million,1
30.3million,1
933,000,1
16hours,1
584,000,1
2013-03-08,1
2007-02-10.cs1,1
yarnall,1
bacque,1
hostetler,1
2013-02-05,1
oertel,1
2006-05-07,1
geroux,1
stallssmith,1
2007-03-25,1
2003-10-23,1
2007-03-06,1
3,080people,1
7.91feet,1
3.2inches,1
boat-building,1
37homes,1
48.2million,1
65,750homes,1
3.21inches,1
8.2feet,1
7.2feet,1
472buildings,1
3,260,1
43,000tons,1
530.5million,1
691million,1
247thousand,1
81,000m2,1
81,000tons,1
73,500t,1
freestanding,1
hoopersvile,1
2,500wharves,1
1,000moderately,1
10.25million,1
13.3million,1
81.4million,1
242million,1
70trees,1
27,092,1
52houses,1
fivefoot,1
22,400residents,1
5,000tons,1
4,500t,1
53buildings,1
360,000m3,1
211,000,1
651million,1
3.91million,1
300buildings,1
118trees,1
220,000customers,1
3,189tons,1
2,893t,1
havre,1
51,600residents,1
12.5million,1
16.3million,1
23.12feet,1
7.12feet,1
2.91feet,1
358,000,1
600traffic,1
70roads,1
94buildings,1
33homes,1
2.07million,1
2.69million,1
11.3feet,1
10.25feet,1
1,600trees,1
azaleas,1
129,000customers,1
30,000pounds,1
13,600kg,1
190,000l,1
39.1million,1
14,595loans,1
69.5million,1
17,855residents,1
20.8million,1
5.21million,1
6.78million,1
800,000pounds,1
363,000kg,1
15,000meals,1
spoilage,1
515tons,1
467t,1
2006-12-27.cs1,1
2005-04-26,1
halman,1
p.b,1
g.o,1
lamere,1
hennessee,1
halka,1
wilcock,1
elvia,1
dyer,1
2006-12-15,1
787people,1
8.66feet,1
17feet,1
5.18m,1
1.88inches,1
2.38feet,1
0.725m,1
watchroom,1
62roads,1
761people,1
3.25million,1
200volunteers,1
kerin,1
magill,1
2003-09-13,1
trapani,1
2006-12-25,1
2,990guardsmen,1
9.47feet,1
2.89m,1
572,425customers,1
81miles,1
7,600new,1
300,000customers,1
56roads,1
1.24inches,1
31mm,1
31,184customers,1
32.2million,1
37.7million,1
703,000,1
2007-01-27.cs1,1
2008-01-27,1
pema,1
275km,1
10.6feet,1
1.3inches,1
2.07inches,1
5,000sq,1
465sq,1
382,000people,1
2014-02-07,1
layson,1
mindos,1
pellegrini,1
derer,1
mcconville,1
high-axle,1
640trees,1
801tree,1
bodysurfing,1
3,000customers,1
grocer,1
2,000gallons,1
7570l,1
25,000pounds,1
11,340kg,1
threetrucks,1
travel.com,1
2003-10-03,1
stith,1
post-standard,1
rell,1
harmlessly,1
unabated,1
near-westward,1
namma-06,1
faqs.org,1
kakar,1
2006-08-07,1
200-mile-long,1
bornvanished,1
seafront,1
general-aviation,1
sifting,1
stickers,1
mostprone,1
andcovered,1
aloifolia,1
gloriosa,1
prevelent,1
elizabethan,1
jutted,1
predisposition,1
ocean-driven,1
mid-70s,1
shackleford,1
cash-crop,1
lurk,1
feeders,1
top-water,1
baitfish,1
grouper,1
vacating,1
19262012,1
1903-12-17,1
2013-07-21,1
www.ncpublicschools.org,1
2016-04-09,1
lccn.loc.gov,1
hollar,1
mal,1
tellico,1
specifically-defined,1
subranges,1
re-form,1
secotan,1
watercolour,1
woodland-culture,1
mississippian-culture,1
15661567,1
safe-haven,1
ambush,1
intersal,1
menaced,1
178081,1
frontiersmen,1
populist-republican,1
fusionist,1
500700,1
cuenca,1
garrisoned,1
1568,1
scribe,1
bandera,1
1580s,1
noblemen,1
delineations,1
grudges,1
carolinasouth,1
non-slave-holding,1
129-mile,1
wilmington-to-raleigh,1
992,622,1
covertly,1
snodgrass,1
chickamauga,1
appomattox,1
10,146,788,1
58.5,1
89.66,1
7,750,904,1
6.93,1
598,756,1
27,310,1
23,204,1
23,072,1
10.34,1
893,735,1
4,241,1
1,513,000,1
1,923,1
428,000,1
ame,1
charlottegastoniasalisbury,1
carolina-south,1
2,583,956,1
raleighdurhamchapel,1
2,117,103,1
greensborowinston-salemhigh,1
1,642,506,1
raleigh-cary,1
424.9billion,1
2.4bn,1
57.8bn,1
2010-2014,1
46,693,1
forty-first,1
lynx,1
delineates,1
midterms,1
eked,1
2-point,1
kituwah,1
perpetuation,1
2,425,1
statesthe,1
itsthe,1
unc-chapel,1
livingstone,1
raleigh-based,1
sportsthe,1
hounds,1
theaffiliated,1
stock-car,1
top-flight,1
low-tier,1
rockbarn,1
conover,1
57-piece,1
largest-land-area,1
natural-habitat,1
spelunking,1
handmade-pottery,1
handcrafted,1
tableware,1
fiddlin,1
hensley,1
fiddler,1
folk-song,1
barrino,1
mccreery,1
2.0million,1
mebane,1
aand-red-pepper-based,1
tastiest,1
noni,1
bacca,1
cheeses,1
gastronomiques,1
conquerront,1
yanks,1
truffes,1
yadkin,1
weeping,1
radish,1
lonerider,1
ncdpr,1
bragg,1
ncga.state.nc.cus,1
145-12,1
deon,1
pp.139150,1
constance,1
pp.1213,1
rodning,1
antiquity.ac.uk,1
randinelli,1
tanglewood,1
statelibrary.dcr.state.nc.us,1
uncpress.unc.edu,1
fenn,1
m.u.s.i.c.s,1
freeafricanamericans.com,1
stonestreet,1
ottis,1
17891860,1
historync.org,1
civiced.org,1
docsouth.unc.edu,1
classbrain.com,1
whitsell,1
proximityone.com,1
ashevilleguidebook.com,1
rinsema,1
kaw,1
igovacation.com,1
ncarts.org,1
ncartmuseum.org,1
hoppenjans,1
ncbbq.com,1
nannie,1
tilley,1
sportingnews.com,1
15241984,1
grant-funded,1
cookbooks,1
directories,1
knotts,1
mccrory,1
fleer,1
kersey,1
luebke,1
197988,1
d-g,1
h-k,1
17341957,1
mazzocchi,1
thuesen,1
19191965,1
aboutnorth,1
pennsylvaani,1
pennsilfaani,1
1,560,297,1
305,801,1
118,577,1
100,671,1
89,893,1
177778,1
274km,1
455km,1
46,055,1
119,282km2,1
44,817,1
116,075km2,1
1,269km2,1
749,1
1,940km2,1
pennsylvania-delaware,1
tri-cities,1
anthracite,1
lenni,1
171555,1
coerced,1
reversions,1
re-conquered,1
anglo-dutch,1
reasserted,1
2,100,000,1
sylvania,1
mapp,1
pensilvania,1
countyes,1
lotts,1
interest-free,1
defraying,1
inflate,1
busily,1
scalping,1
masters-penn,1
17901800,1
ethically,1
pennsylvanias,1
rave,1
handsomest,1
wartook,1
12,802,503,1
78.8,1
81.9,1
82.6,1
michiganthe,1
in-migration,1
12,773,801,1
10,265,1
71,422,1
27,718,1
127,007,1
98,289,1
3rd-highest,1
36.0,1
35.9,1
150-mile,1
90.15,1
10,710,239,1
4.09,1
486,058,1
103,502,1
56,052,1
9.85,1
1,170,628,1
ofteneven,1
misleadinglycalled,1
netherlander,1
deitsch,1
illtreat,1
12,702,379,1
6,838,440,1
3,503,028,1
591,734,1
501,974,1
1,011,1
epc,1
47,860,1
146,416,1
91,200,1
anabapist,1
232,631,1
644,1
47,274,1
investor-owned,1
locally-grown,1
66,800,1
roulette,1
blackjack,1
craps,1
betting,1
trending,1
2,938,095,1
50.92,1
2,793,847,1
48.42,1
3,184,778,1
2,584,088,1
magisterial,1
10th-highest,1
6,640,1
dispositions,1
sixty-seven,1
salaried,1
self-employment,1
birt,1
unearned,1
5,085,1
56cities,1
1,526,006,1
76,089,1
118,032,1
101,786,1
840are,1
958boroughs,1
42,034,1
1,454second-class,1
93first-class,1
82,795,1
home-rule,1
mccandless,1
1,454,1
bloomsburg,1
2,562,1
29th-overall-healthiest,1
83.8,1
homeschool,1
state-related,1
pennsylvania.the,1
long-accredited,1
aza,1
timelapse,1
whitetail,1
cottontail,1
grouse,1
furtaking,1
733lb,1
332kg,1
crockett-recorded,1
penndot,1
39,861,1
64,150km,1
121,770,1
195,970km,1
861km,1
i-81,1
i-476,1
25th-largest,1
134public-use,1
24th-largest,1
impounds,1
76ers,1
railriders,1
fightin,1
phils,1
usl-2,1
racetracks,1
raceway,1
delmont,1
nemacolin,1
glenmaura,1
107,282,1
villanova,1
hernes,1
troyer,1
marshmallow,1
mallo,1
market-stand,1
downingtown,1
schnitz,1
knepp,1
dumplings,1
doughnuts,1
pretzels,1
chow-chow,1
hoagie,1
wawa,1
mashed,1
hostility,1
ostentatious,1
timetemperature.com,1
cr.nps.gov,1
accessgenealogy.com,1
paullin,1
pp.plate,1
42.cs1,1
pp.1723.cs1,1
pp.912,1
mccormick,1
16091789,1
pp.278280.cs1,1
pp.375377.cs1,1
19011902,1
16031688,1
pp.311,1
p.231.cs1,1
pp.507508.cs1,1
p.136.cs1,1
p.515.cs1,1
pp.119,1
198.cs1,1
requited,1
1682-08-24,1
quit-claim,1
pym.org,1
britannia.com,1
p.196.cs1,1
p.243.cs1,1
syrett,1
18thcenturyreadingroom.blogspot.com,1
bingham,1
pasdc.hbg.psu.edu,1
cuny.edu,1
philosophic,1
smollett,1
xxxix,1
visitamishcountry.com,1
qcfamilytree.org,1
kraybill,1
hostetter,1
anabaptist,1
scottdale,1
200-201,1
phlx.com,1
dailypennsylvanian.com,1
cidep,1
rotstein,1
jenkinslaw.org,1
phmc.state.pa.us,1
aopc.org,1
articles.philly.com,1
berkheimer,1
issuespa.org,1
6-5,1
6-46,1
6-6,1
6-22,1
23.1101,1
tutoring,1
pafa.org,1
usciences.edu,1
houdini.org,1
5-4,1
santoni,1
trib,1
littleleague.org,1
skateboard.about.com,1
pittsburghlive.com,1
ashers.com,1
1-6,1
1-5,1
lowellpl.lib.in.us,1
quakerinfo.com,1
u.s.-cuba,1
europenes,1
trostle,1
aboutpennsylvaniaat,1
sliver,1
0.18km2,1
reunions,1
85.56km2,1
33.03sqmi,1
4,001,1
pre-colombian,1
joyed,1
savages,1
chicamacomico,1
kinnakeet,1
footpath,1
40-minute,1
ocracoke-hatteras,1
seashores,1
cro,1
1984-01-25,1
pp.130133,1
mcallister,1
p.b15,1
law-making,1
42,774.2,1
110,784.7km2,1
3,180.13,1
8,236.5km2,1
5,729,1
1,746m,1
5.9magnitude,1
pronouncedly,1
3545,1
108cm,1
evergreens,1
conifers,1
moisture-loving,1
hemlocks,1
mosses,1
infestations,1
nottoway,1
daisies,1
ferns,1
white-tailed,1
chipmunk,1
weasel,1
chickadees,1
red-tailed,1
ospreys,1
seagulls,1
pileated,1
salamanders,1
79,579acres,1
322km2,1
ancestress,1
romanticized,1
quadricentennial,1
rationales,1
12,000years,1
30smaller,1
150settlements,1
wingandacoa,1
wingina,1
3,400of,1
6,000early,1
1747,1
17561763,1
then-lieutenant,1
marye,1
andera,1
majorera,1
desegregation,1
countermand,1
429.1,1
1,111km2,1
114,204,1
300,399,1
8,411,808,1
381,969,1
159,627people,1
155,205people,1
50.9,1
homogenized,1
anachronistic,1
85.87,1
6,299,127,1
6.41,1
470,058,1
56,518,1
45,881,1
42,418,1
40,724,1
14.13,1
1,036,442,1
763,655,1
1,400member,1
673,853,1
holston,1
episcopalian,1
ordination,1
parishioners,1
106,143public,1
44,656,1
fourth-highest,1
210,000,1
357,000,1
47,000farms,1
0.27sqmi,1
0.69km2,1
12,656sqmi,1
32,780km2,1
5.75,1
reenacted,1
moonshiners,1
400-year,1
fiddlers,1
45th-largest,1
66th,1
720licensed,1
142,476,1
108,559,1
78,663,1
outperforming,1
1,267,063students,1
1,873local,1
109alternative,1
320state,1
130non-accredited,1
24,682,1
homeschooling,1
260,000students,1
6,816,1
per1,000,1
17-year-olds,1
57,867,1
93,128km,1
70,105,1
112,823km,1
21st-lowest,1
26.9minutes,1
sixty-six,1
17,726,251,1
16,080,984,1
throughbased,1
100-member,1
40-member,1
7,500soldiers,1
1,200airmen,1
enfranchisement,1
union-influenced,1
seventeen-point,1
tie-breaker,1
rookie-level,1
lansdowne,1
kingsmill,1
romanticize,1
tyrants,1
pp.215,1
pp.9295,1
mayell,1
lauryn,1
tv3,1
pp.xixii,1
pp.152153,1
pp.406407,1
kunkle,1
pp.411,1
glanville,1
3442,2009,1
pp.695696,1
stahle,1
cleaveland,1
therrell,1
564567,1
higginbotham,1
pp.211215,1
pp.5159,1
pp.2429,1
pp.125133,1
pp.131133,1
pp.812,1
208210,1
p.490,1
tripp,1
pp.9096,1
pp.253254,1
pp.328329,1
pp.3743,1
pp.340341,1
pp.357,1
pp.359366,1
niemeier,1
battiata,1
aisch,1
gebeloff,1
quealy,1
rorabaugh,1
critchlow,1
virginia.org,1
3786,1
raby,1
p.175,1
frey,1
5872,1
firestone,1
schulte,1
secularism,1
vegh,1
boorstein,1
alfaham,1
uible,1
poersch,1
censer,1
techamerica,1
soldner,1
bacqu,1
rareshide,1
dolan-del,1
vecchio,1
badenhausen,1
fundivo,1
clabaugh,1
mcnatt,1
mcbryde,1
mkf,1
lehmann-haupt,1
dirda,1
fain,1
pp.2225,1
pp.88,1
pp.165166,1
folkways,1
pp.307308,1
mondotimes,1
mondo,1
sieff,1
www.liberty.edu,1
szabo,1
mummolo,1
buske,1
hosh,1
kafia,1
strum,1
714715,1
lettner,1
listman,1
lower-than-average,1
burchett,1
19101920,1
312327,1
eisman,1
przybyla,1
nikita,1
245260,1
clemons,1
744767,1
bycoffe,1
lavender,1
minium,1
sylwester,1
maryjo,1
witosky,1
berrier,1
uhry,1
accordino,1
causey,1
eighteenth-century,1
grizzard,1
17761840,1
hashaw,1
kolp,1
hoffer,1
kerby,1
schrier,1
boling,1
15841590,1
18501870,1
pazzaglia,1
pinn,1
hippocrene,1
cici,1
aboutvirginiaat,1
37th-largest,1
cittie,1
roadsteads,1
nansemond,1
postmark,1
jurisdictionsfive,1
1,676,822,1
norfolkportsmouth,1
newshampton,1
beachportsmouth,1
beachnewport,1
beachnorfolk,1
1,779,243,1
d.c.arlingtonalexandria,1
dcvamdwv,1
17th19th,1
defensible,1
cheatham,1
skiffe,1
wlliamsburg,1
sleepy,1
pre-independence,1
dreamt,1
syms-eaton,1
bridgetunnels,1
astronaut-name,1
lrc,1
one-of-a-kind,1
cebaf,1
kilowatt-class,1
59.6,1
now-closed,1
monitor-merrimac,1
kpvg,1
us460,1
us58,1
sit-down,1
kcpk,1
ksfq,1
kakq,1
kfkn,1
7,130,1
i-264,1
evangelist,1
cayce,1
transpersonal,1
consortia,1
crim,1
technology-focused,1
tabernacle,1
223,170,1
1,260,029,1
16101611,1
strikingly,1
1743-1826,1
1775-1783,1
ocean-faring,1
boatmen,1
well-used,1
186465,1
plating,1
indefensible,1
boydton,1
postbellum,1
cigarette-rolling,1
85,050,1
13km2,1
62.1,1
37.9,1
businesswoman,1
perimeters,1
still-sore,1
oft-rising,1
early-april,1
37.538,1
77.462,1
7.0km2,1
